subject_category,Domain-1,Domain-2
Endocrinology & Metabolism,Life Sciences,"Clinical, Pre-Clinical & Health"
Energy & Fuels,Engineering & Technology,
Engineering & Technology,Engineering & Technology,
"Engineering, Aerospace",Engineering & Technology,
"Engineering, Biomedical",Engineering & Technology,
"Engineering, Chemical",Engineering & Technology,
"Engineering, Civil",Engineering & Technology,
"Engineering, Electrical & Electronic",Engineering & Technology,
"Engineering, Environmental",Engineering & Technology,
"Engineering, Geological",Engineering & Technology,
"Engineering, Industrial",Engineering & Technology,
"Engineering, Manufacturing",Engineering & Technology,
"Engineering, Marine",Engineering & Technology,
"Engineering, Mechanical",Engineering & Technology,
"Engineering, Multidisciplinary",Engineering & Technology,
"Engineering, Ocean",Engineering & Technology,
"Engineering, Petroleum",Engineering & Technology,
Entomology,Life Sciences,
Environmental Sciences,Life Sciences,
Environmental Studies,Social Sciences,
Ergonomics,Engineering & Technology,
Ethics,Social Sciences,
Ethnic Studies,Social Sciences,
Evolutionary Biology,Life Sciences,
Family Studies,Social Sciences,
"Film, Radio, Television",Arts & Humanities,
Fisheries,Life Sciences,
Folklore,Arts & Humanities,
Food Science & Technology,Life Sciences,
Forestry,Life Sciences,
Gastroenterology & Hepatology,Life Sciences,"Clinical, Pre-Clinical & Health"
Genetics & Heredity,Life Sciences,
Geochemistry & Geophysics,Physical Sciences,
Geography,Social Sciences,
"Geography, Physical",Physical Sciences,
Geology,Physical Sciences,
"Geosciences, Multidisciplinary",Physical Sciences,
Geriatrics & Gerontology,"Clinical, Pre-Clinical & Health",
Gerontology,Social Sciences,
Green & Sustainable Science & Technology,Engineering & Technology,
Health Care Sciences & Services,"Clinical, Pre-Clinical & Health",
Health Policy & Services,Social Sciences,
Hematology,"Clinical, Pre-Clinical & Health",
History,Arts & Humanities,
History & Philosophy of Science,Arts & Humanities,
History of Social Sciences,Social Sciences,
Horticulture,Life Sciences,
"Hospitality, Leisure, Sport & Tourism",Social Sciences,
"Humanities, Multidisciplinary",Arts & Humanities,
Imaging Science & Photographic Technology,Engineering & Technology,
Immunology,Life Sciences,
Industrial Relations & Labor,Social Sciences,
Infectious Diseases,"Clinical, Pre-Clinical & Health",
Information Science & Library Science,Engineering & Technology,
Instruments & Instrumentation,Engineering & Technology,
Integrative & Complementary Medicine,"Clinical, Pre-Clinical & Health",
International Relations,Social Sciences,
Language & Linguistics,Arts & Humanities,
Law,Social Sciences,
Life Sciences,Life Sciences,
Limnology,Life Sciences,
Linguistics,Social Sciences,Arts & Humanities
Literary Reviews,Arts & Humanities,
Literary Theory & Criticism,Arts & Humanities,
Literature,Arts & Humanities,
"Literature, African, Australian, Canadian",Arts & Humanities,
"Literature, American",Arts & Humanities,
"Literature, British Isles",Arts & Humanities,
"Literature, German, Dutch, Scandinavian",Arts & Humanities,
"Literature, Romance",Arts & Humanities,
"Literature, Slavic",Arts & Humanities,
Logic,Physical Sciences,Engineering & Technology
Management,Social Sciences,
Marine & Freshwater Biology,Life Sciences,
"Materials Science, Biomaterials",Engineering & Technology,
"Materials Science, Ceramics",Engineering & Technology,
"Materials Science, Characterization & Testing",Engineering & Technology,
"Materials Science, Coatings & Films",Engineering & Technology,
"Materials Science, Composites",Engineering & Technology,
"Materials Science, Multidisciplinary",Engineering & Technology,
"Materials Science, Paper & Wood",Engineering & Technology,
"Materials Science, Textiles",Engineering & Technology,
Mathematical & Computational Biology,Life Sciences,
Mathematics,Physical Sciences,
"Mathematics, Applied",Physical Sciences,
"Mathematics, Interdisciplinary Applications",Physical Sciences,
Mechanics,Engineering & Technology,
Medical Ethics,"Clinical, Pre-Clinical & Health",
Medical Informatics,"Clinical, Pre-Clinical & Health",
Medical Laboratory Technology,"Clinical, Pre-Clinical & Health",
"Medicine, General & Internal","Clinical, Pre-Clinical & Health",
"Medicine, Legal","Clinical, Pre-Clinical & Health",
"Medicine, Research & Experimental","Clinical, Pre-Clinical & Health",
Medieval & Renaissance Studies,Arts & Humanities,
Metallurgy & Metallurgical Engineering,Engineering & Technology,
Meteorology & Atmospheric Sciences,Physical Sciences,
Microbiology,Life Sciences,
Microscopy,Engineering & Technology,
Mineralogy,Physical Sciences,
Mining & Mineral Processing,Engineering & Technology,
Multidisciplinary Sciences,Physical Sciences,Life Sciences
Music,Arts & Humanities,
Mycology,Life Sciences,
Nanoscience & Nanotechnology,Physical Sciences,
Neuroimaging,"Clinical, Pre-Clinical & Health",
Neurosciences,Life Sciences,
Nuclear Science & Technology,Engineering & Technology,
Nursing,"Clinical, Pre-Clinical & Health",
Nutrition & Dietetics,"Clinical, Pre-Clinical & Health",
Obstetrics & Gynecology,"Clinical, Pre-Clinical & Health",
Oceanography,Physical Sciences,
Oncology,Life Sciences,"Clinical, Pre-Clinical & Health"
Operations Research & Management Science,Engineering & Technology,
Ophthalmology,"Clinical, Pre-Clinical & Health",
Optics,Physical Sciences,
Ornithology,Life Sciences,
Orthopedics,"Clinical, Pre-Clinical & Health",
Otorhinolaryngology,"Clinical, Pre-Clinical & Health",
Paleontology,Life Sciences,
Parasitology,Life Sciences,
Pathology,Life Sciences,"Clinical, Pre-Clinical & Health"
Pediatrics,"Clinical, Pre-Clinical & Health",
Peripheral Vascular Disease,Life Sciences,"Clinical, Pre-Clinical & Health"
Pharmacology & Pharmacy,Life Sciences,"Clinical, Pre-Clinical & Health"
Philosophy,Arts & Humanities,
Physical Sciences,Physical Sciences,
"Physics, Applied",Physical Sciences,
"Physics, Atomic, Molecular & Chemical",Physical Sciences,
"Physics, Condensed Matter",Physical Sciences,
"Physics, Fluids & Plasmas",Physical Sciences,
"Physics, Mathematical",Physical Sciences,
"Physics, Multidisciplinary",Physical Sciences,
"Physics, Nuclear",Physical Sciences,
"Physics, Particles & Fields",Physical Sciences,
Physiology,Life Sciences,
Plant Sciences,Life Sciences,
Poetry,Arts & Humanities,
Political Science,Social Sciences,
Polymer Science,Physical Sciences,
Primary Health Care,"Clinical, Pre-Clinical & Health",
Psychiatry,"Clinical, Pre-Clinical & Health",
Psychology,Social Sciences,
"Psychology, Applied",Social Sciences,
"Psychology, Biological",Social Sciences,
"Psychology, Clinical",Social Sciences,
"Psychology, Developmental",Social Sciences,
"Psychology, Educational",Social Sciences,
"Psychology, Experimental",Social Sciences,
"Psychology, Mathematical",Social Sciences,
"Psychology, Multidisciplinary",Social Sciences,
"Psychology, Psychoanalysis",Social Sciences,
"Psychology, Social",Social Sciences,
Public Administration,Social Sciences,
"Public, Environmental & Occupational Health","Clinical, Pre-Clinical & Health",
Quantum Science & Technology,Physical Sciences,Engineering & Technology
"Radiology, Nuclear Medicine & Medical Imaging","Clinical, Pre-Clinical & Health",
Regional & Urban Planning,Social Sciences,
Rehabilitation,"Clinical, Pre-Clinical & Health",
Religion,Arts & Humanities,
Remote Sensing,Engineering & Technology,
Reproductive Biology,Life Sciences,
Respiratory System,"Clinical, Pre-Clinical & Health",
Rheumatology,"Clinical, Pre-Clinical & Health",
Robotics,Engineering & Technology,
Social Issues,Social Sciences,
Social Sciences,Social Sciences,
"Social Sciences, Biomedical",Social Sciences,
"Social Sciences, Interdisciplinary",Social Sciences,
"Social Sciences, Mathematical Methods",Social Sciences,
Social Work,Social Sciences,
Sociology,Social Sciences,
Soil Science,Life Sciences,
Spectroscopy,Physical Sciences,
Sport Sciences,"Clinical, Pre-Clinical & Health",
Statistics & Probability,Physical Sciences,
Substance Abuse,"Clinical, Pre-Clinical & Health",
Surgery,"Clinical, Pre-Clinical & Health",
Telecommunications,Engineering & Technology,
Theater,Arts & Humanities,
Thermodynamics,Physical Sciences,
Toxicology,Life Sciences,
Transplantation,Life Sciences,"Clinical, Pre-Clinical & Health"
Transportation,Engineering & Technology,
Transportation Science & Technology,Engineering & Technology,
Tropical Medicine,"Clinical, Pre-Clinical & Health",
Urban Studies,Social Sciences,
Urology & Nephrology,"Clinical, Pre-Clinical & Health",
Veterinary Sciences,Life Sciences,
Virology,Life Sciences,
Water Resources,Physical Sciences,
Women's Studies,Social Sciences,
Zoology,Life Sciences,
